date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11 00:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,14,21,21,21,38,33,65,0.0,1013,21,10,39,18
2018-12-11 03:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,14,21,21,21,38,85,67,0.0,1013,21,10,31,21
2018-12-11 06:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,15,21,24,21,37,5,70,0.0,1013,21,10,32,22
2018-12-11 09:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,17,26,26,24,37,8,67,0.0,1012,24,10,31,24
2018-12-11 12:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,20,27,27,26,40,50,70,0.6,1011,26,9,339,26
2018-12-11 15:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,20,25,25,23,56,67,84,0.0,1010,23,10,352,38
2018-12-11 18:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,21,27,27,25,30,32,78,0.1,1008,25,10,303,18
2018-12-11 21:00:00,26,21,0.0,13.4,1,1,21,09:02 AM,11:18 PM,05:25 AM,07:52 PM,19,21,24,21,22,16,86,0.0,1009,21,10,287,13
2018-12-12 00:00:00,25,19,0.0,14.3,1,1,29,09:57 AM,11:55 PM,05:25 AM,07:53 PM,19,21,21,21,25,10,90,0.1,1010,21,10,233,15
2018-12-12 03:00:00,25,19,0.0,14.3,1,1,29,09:57 AM,11:55 PM,05:25 AM,07:53 PM,19,20,20,20,29,17,91,0.0,1011,20,10,258,18
2018-12-12 06:00:00,25,19,0.0,14.3,1,1,29,09:57 AM,11:55 PM,05:25 AM,07:53 PM,19,20,20,20,25,26,93,0.0,1012,20,10,227,15
