date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11 00:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,7,12,12,12,9,22,73,0.0,1026,11,10,314,6
2018-12-11 03:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,8,11,12,11,9,18,76,0.0,1025,11,10,352,7
2018-12-11 06:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,9,12,13,12,12,0,75,0.0,1024,10,10,337,10
2018-12-11 09:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,6,12,12,12,5,18,67,0.0,1023,11,10,14,4
2018-12-11 12:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,6,13,13,13,3,32,63,0.0,1022,12,10,166,3
2018-12-11 15:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,6,14,14,14,7,34,60,0.0,1020,13,10,221,6
2018-12-11 18:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,6,12,12,12,13,90,67,0.0,1020,12,10,256,9
2018-12-11 21:00:00,13,10,0.0,8.7,1,1,21,11:16 AM,09:10 PM,08:07 AM,05:22 PM,6,11,12,11,10,92,66,0.0,1020,12,10,297,6
2018-12-12 00:00:00,13,10,0.0,8.7,1,1,29,11:53 AM,10:07 PM,08:08 AM,05:22 PM,4,11,11,11,11,98,62,0.0,1020,11,10,333,7
2018-12-12 03:00:00,13,10,0.0,8.7,1,1,29,11:53 AM,10:07 PM,08:08 AM,05:22 PM,5,11,12,11,10,9,64,0.0,1019,11,10,34,8
2018-12-12 06:00:00,13,10,0.0,8.7,1,1,29,11:53 AM,10:07 PM,08:08 AM,05:22 PM,6,10,11,10,14,33,73,0.0,1020,10,10,29,9
2018-12-12 09:00:00,13,10,0.0,8.7,1,1,29,11:53 AM,10:07 PM,08:08 AM,05:22 PM,7,12,12,12,7,7,68,0.0,1020,11,10,21,6
2018-12-12 12:00:00,13,10,0.0,8.7,1,1,29,11:53 AM,10:07 PM,08:08 AM,05:22 PM,9,16,16,16,2,2,63,0.0,1019,13,10,146,2
2018-12-12 15:00:00,13,10,0.0,8.7,1,1,29,11:53 AM,10:07 PM,08:08 AM,05:22 PM,8,14,14,14,6,32,65,0.0,1017,13,10,184,5
